a1_en_que_tipo_de_trabajo_en_plataforma_participa_principalmente,a1_1_tipo_de_trabajo_otro,a2_en_que_ano_comenzo_a_trabajar_en_esta_plataforma,a3_en_promedio_cuantas_horas_a_la_semana_dedica_a_esta_actividad,a4_esta_actividad_es_actualmente_su_principal_fuente_de_ingreso,b1_que_tipo_de_transporte_utiliza_principalmente,b2_en_promedio_cuantos_pedidos_completa_por_dia_de_trabajo,b3_como_afectaron_los_periodos_de_cuarentena_su_volumen_de_trabajo,b4_en_que_plataformas_trabaja_principalmente,b4_en_que_plataformas_trabaja_principalmente_upwork_fiverr,b4_en_que_plataformas_trabaja_principalmente_plataformas_de_redaccion_blogging,b4_en_que_plataformas_trabaja_principalmente_mercado_local,b5_sus_clientes_son_principalmente_internacionales_o_locales,b6_como_afecto_la_devaluacion_del_peso_2022_2023_sus_ingresos,b7_que_tipo_de_vehiculo_utiliza,b8_en_promedio_cuantos_viajes_completa_por_dia_de_trabajo,b9_como_afecto_el_aumento_de_la_gasolina_sus_decisiones,b10_en_que_tipo_de_plataforma_o_actividad_participa,b10_en_que_tipo_de_plataforma_o_actividad_participa_servicios_a_domicilio_limpieza_reparaciones_belleza,b10_en_que_tipo_de_plataforma_o_actividad_participa_venta_comercio_redes_sociales_marketplaces,b10_en_que_tipo_de_plataforma_o_actividad_participa_ensenanza_cuidado_tutorias_nineras_adultos_mayores,b10_en_que_tipo_de_plataforma_o_actividad_participa_otra_actividad_no_listada,b11_como_consiguio_este_trabajo_actividad,b11_como_consiguio_este_trabajo_actividad_contactos_personales_familia_amigos,b11_como_consiguio_este_trabajo_actividad_redes_sociales_instagram_facebook,b11_como_consiguio_este_trabajo_actividad_plataforma_app_especifica,b11_como_consiguio_este_trabajo_actividad_busqueda_propia_oferta_demanda_local,b12_como_recibe_los_pagos_principalmente,b13_que_porcentaje_de_sus_ingresos_totales_representa,b14_ve_esta_actividad_como_temporal_o_permanente,c1_ante_bonos_por_metas_usted,c2_si_el_pago_subiera_un_20_percent_usted,c3_si_consiguiera_un_empleo_formal_usted,d1_su_ingreso_real_comparado_con_el_inicio_es,d2_en_el_periodo_de_mayor_inflacion_usted,d3_mirando_hacia_el_futuro_planea,e1_genero,e2_edad_anos_38,e3_nivel_educativo_mas_alto_alcanzado,e4_en_que_ciudad_vive,e5_recibe_remesas_o_apoyo_familiar_regular,e2_edad_anos_42,id,uuid,submission_time,validation_status,notes,status,submitted_by,version,tags,index,horas_semanales,ingreso_principal,sector,educacion,edad,genero,ciudad,respuesta_bonos,respuesta_salario,periodo
Freelancer Digital,NA,2021,Más de 40 horas,"Sí, es mi único ingreso",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos",Reducir progresivamente,Femenino,18 - 24  años,Posgrado,Santo Domingo,No,NA,651071065,7d99a2ae-b2ba-481f-8bfe-168d1ebaa713,2026-01-18T20:37:24Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,30,45,1,Freelancer Digital,Posgrado,18 - 24  años,Femenino,Santo Domingo,1,2,0
Freelancer Digital,NA,2025,31-40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Igual que antes,"Mantuvo sus horas, ganó menos",Reducir progresivamente,Femenino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651072121,6d83d5be-f8b1-40d3-bc81-fdb986efdf8e,2026-01-18T20:42:10Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,31,35,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Femenino,Santo Domingo,2,2,1
Freelancer Digital,NA,2023,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría las mismas horas,Dejaría completamente la plataforma,Mayor que antes,"Mantuvo sus horas, ganó menos",Dejar cuando encuentre otra cosa,Femenino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651072933,3180a89f-938c-4259-a493-b38cbcd3bfea,2026-01-18T20:44:30Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,32,45,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Femenino,Santo Domingo,3,1,1
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2022,Menos de 10 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,1-5 viajes,"Trabajé igual, pero gané menos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Reduciría sus horas,No sé / No he hecho el cálculo,"Mantuvo sus horas, ganó menos",Dejar cuando encuentre otra cosa,Femenino,18 - 24  años,Universitario (en curso),NA,Sí,NA,651080542,ae6334d0-3357-4529-a008-ecbc7e28ee1e,2026-01-18T21:21:53Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,33,5,0,"Conductor de Plataforma (Uber, Didi, etc.)",Universitario (en curso),18 - 24  años,Femenino,NA,1,1,1
"Delivery (PedidosYa, rappi, etc.)",NA,2020,10-20 horas,"Sí, es mi ingreso principal",Motocicleta,11-15 pedidos,Se mantuvo igual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría muchas más horas,NA,Mayor que antes,"Mantuvo sus horas, ganó menos",Reducir progresivamente,Masculino,35-44 años,Secundaria,Santo Domingo,No,NA,651080966,497f9525-3d3e-47b1-8239-26a25d5a167d,2026-01-18T21:23:35Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,34,15,1,"Delivery (PedidosYa, rappi, etc.)",Secundaria,35-44 años,Masculino,Santo Domingo,2,3,0
Freelancer Digital,NA,2019 o antes,Menos de 10 horas,"No, es un complemento",NA,NA,NA,Plataformas de redacción/blogging,0,1,0,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos",Formalizar como empresa propia,Femenino,45-54 años,Posgrado,Santo Domingo,No,NA,651113912,e1a234d8-d1df-48fd-b2ec-11f9e66630f9,2026-01-19T01:01:48Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,35,5,0,Freelancer Digital,Posgrado,45-54 años,Femenino,Santo Domingo,2,2,0
Freelancer Digital,NA,2019 o antes,Más de 40 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría muchas más horas,Mantendría sus horas actuales,Mayor que antes,Aumentó sus horas,"Seguir, aumentando horas",Masculino,35-44 años,Universitario (graduado),Santo Domingo,No,NA,651117199,ca9c9807-495c-40cf-b2a0-dde22275dfa8,2026-01-19T01:19:46Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,36,45,0,Freelancer Digital,Universitario (graduado),35-44 años,Masculino,Santo Domingo,1,3,0
Freelancer Digital,NA,2019 o antes,10-20 horas,"No, es un ingreso ocasional",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,Mayor que antes,Aumentó sus horas,"Seguir, manteniendo horas",Femenino,35-44 años,Posgrado,Distrito nacional,No,NA,651117936,0633db6d-595a-4f72-af6f-93bff9038edb,2026-01-19T01:22:52Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,37,15,0,Freelancer Digital,Posgrado,35-44 años,Femenino,Distrito nacional,2,1,0
Freelancer Digital,NA,2021,Menos de 10 horas,"No, es un ingreso ocasional",NA,NA,NA,Mercado local,0,0,1,Mix 50/50,Me benefició un poco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría muchas más horas,Reduciría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, aumentando horas",Femenino,35-44 años,Posgrado,Santo Domingo,No,NA,651119697,a29d6c8d-93da-4e3c-92a2-bd22394192be,2026-01-19T01:31:56Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,38,5,0,Freelancer Digital,Posgrado,35-44 años,Femenino,Santo Domingo,3,3,0
Freelancer Digital,NA,2019 o antes,Más de 40 horas,"No, es un complemento",NA,NA,NA,Plataformas de redacción/blogging,0,1,0,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría muchas más horas,Mantendría sus horas actuales,No sé / No he hecho el cálculo,"Mantuvo sus horas, ganó menos",Formalizar como empresa propia,Masculino,45-54 años,Universitario (en curso),Santo Domingo Este,No,NA,651122309,f44d9f65-e130-4e54-8de8-663cf8272e68,2026-01-19T01:45:31Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,39,45,0,Freelancer Digital,Universitario (en curso),45-54 años,Masculino,Santo Domingo Este,2,3,0
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2023,10-20 horas,"No, es un ingreso ocasional",NA,NA,NA,NA,NA,NA,NA,NA,NA,Motocicleta,6-10 viajes,Trabajé más horas para compensar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Disminuye sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,Disminuyó sus horas,Formalizar como empresa propia,Masculino,18 - 24  años,Universitario (en curso),Santo Domingo Norte,No,NA,651126473,243a674b-7b5d-4067-a46d-ae7c17c80ffe,2026-01-19T02:03:47Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,40,15,0,"Conductor de Plataforma (Uber, Didi, etc.)",Universitario (en curso),18 - 24  años,Masculino,Santo Domingo Norte,0,2,1
Freelancer Digital,NA,2021,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos",Reducir progresivamente,Femenino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651146468,0b3710b0-f109-4b65-bf53-9d3af640f445,2026-01-19T03:24:21Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,41,45,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Femenino,Santo Domingo,1,1,0
Freelancer Digital,NA,2024,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mix 50/50,No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría algunas horas más,Mantendría sus horas actuales,Igual que antes,Aumentó sus horas,Formalizar como empresa propia,Masculino,35-44 años,Universitario (graduado),Santo Domingo,No,NA,651146475,eaa0f935-5fd0-47d5-9521-8e1179a5b59f,2026-01-19T03:24:22Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,42,45,1,Freelancer Digital,Universitario (graduado),35-44 años,Masculino,Santo Domingo,3,2,1
Freelancer Digital,NA,2022,Más de 40 horas,"Sí, es mi único ingreso",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos",Dejar cuando encuentre otra cosa,Femenino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651146478,a5d82f5f-1bf0-4b6d-a241-f879bfac3fd3,2026-01-19T03:24:22Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,43,45,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Femenino,Santo Domingo,1,1,1
Freelancer Digital,NA,2025,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No cobro en dólares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Aumentaría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, aumentando horas",Femenino,35-44 años,Universitario (graduado),Santo Domingo,No,NA,651146482,0c070173-ac33-489a-9e7f-b7b47b2456a8,2026-01-19T03:24:23Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,44,45,1,Freelancer Digital,Universitario (graduado),35-44 años,Femenino,Santo Domingo,1,1,1
Freelancer Digital,NA,2019 o antes,31-40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría las mismas horas,Aumentaría sus horas,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, aumentando horas",Femenino,35-44 años,Universitario (graduado),Santo Domingo,No,NA,651146485,c849a7b9-57fc-46f5-9f2d-4e3a158469ee,2026-01-19T03:24:23Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,45,35,1,Freelancer Digital,Universitario (graduado),35-44 años,Femenino,Santo Domingo,3,1,0
Freelancer Digital,NA,2025,Más de 40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Mercado local,0,0,1,Mix 50/50,No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,Mayor que antes,Disminuyó sus horas,Reducir progresivamente,Femenino,18 - 24  años,Secundaria,Santo Domingo,No,NA,651146490,3842bff5-bb2b-4b93-ad2b-0687fa11f551,2026-01-19T03:24:23Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,46,45,1,Freelancer Digital,Secundaria,18 - 24  años,Femenino,Santo Domingo,1,1,1
Freelancer Digital,NA,2019 o antes,Menos de 10 horas,"No, es un ingreso ocasional",NA,NA,NA,Mercado local,0,0,1,Mayormente locales (DOP),No noté diferencia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Reduciría sus horas,Igual que antes,Aumentó sus horas,Reducir progresivamente,Masculino,35-44 años,Posgrado,Santo Domingo,No,NA,651382178,062333e1-3374-40df-ac79-c8a84a0b0762,2026-01-19T10:49:14Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,47,5,0,Freelancer Digital,Posgrado,35-44 años,Masculino,Santo Domingo,2,2,0
Freelancer Digital,NA,2025,31-40 horas,"Sí, es mi ingreso principal",NA,NA,NA,Upwork/Fiverr Mercado local,1,0,1,Mayormente internacionales (USD/EUR),Me benefició significativamente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No cambia sus horas,Trabajaría las mismas horas,Mantendría sus horas actuales,Mayor que antes,"Mantuvo sus horas, ganó menos","Seguir, manteniendo horas",Masculino,18 - 24  años,Universitario (graduado),Santo Domingo,No,NA,651635427,b3fc246e-e2f2-4ff0-b98b-ae31efcce708,2026-01-19T15:56:34Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,48,35,1,Freelancer Digital,Universitario (graduado),18 - 24  años,Masculino,Santo Domingo,1,1,1
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2024,21-30 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,6-10 viajes,Cambié a horas de mayor demanda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta un poco sus horas,Trabajaría algunas horas más,Reduciría sus horas,Mayor que antes,Aumentó sus horas,Reducir progresivamente,Femenino,18 - 24  años,Universitario (en curso),Santo Domingo,Sí,NA,651738711,a799716a-bda8-405a-bc06-59ec78668aac,2026-01-19T18:57:52Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,49,25,0,"Conductor de Plataforma (Uber, Didi, etc.)",Universitario (en curso),18 - 24  años,Femenino,Santo Domingo,2,2,1
"Conductor de Plataforma (Uber, Didi, etc.)",NA,2022,21-30 horas,"No, es un complemento",NA,NA,NA,NA,NA,NA,NA,NA,NA,Automóvil propio,6-10 viajes,No me afectó significativamente,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aumenta significativamente sus horas,Trabajaría muchas más horas,Mantendría sus horas actuales,Igual que antes,Aumentó sus horas,"Seguir, manteniendo horas",Masculino,35-44 años,Secundaria,Santo Domingo,No,NA,651800143,caf9f5b5-4499-4749-813d-0647884116e5,2026-01-19T20:50:29Z,Approved,NA,submitted_via_web,NA,vuyQgGZ8qTmtSpfGbfjSjs,NA,50,25,0,"Conductor de Plataforma (Uber, Didi, etc.)",Secundaria,35-44 años,Masculino,Santo Domingo,3,3,1
